Question	Option A	Option B	Option C	Option D	Correct Answer	Explanation
Which MITRE ATT&CK technique involves an adversary using a compromised system to attack a different downstream system within the same network?	Spearphishing Attachment (T1193)	Remote Services (T1021)	Lateral Movement (T1070)	Exploit Public-Facing Application (T1190)	C	Lateral Movement (T1070) involves an adversary using a compromised system to move laterally within the same network to attack a different downstream system. Spearphishing Attachment (T1193) refers to sending spearphishing emails with malicious attachments, Remote Services (T1021) involves adversaries exploiting remote services to gain access, and
"Which MITRE ATT&CK technique ID corresponds to the pattern known as ""Command-Line Interface"" in the Enterprise platform?"	A. T1059 - Command-Line Interface	B. T1140 - Deobfuscate/Decode Files or Information	C. T1136 - Create Account	D. T1003 - Credential Dumping	A	T1059 - Command-Line Interface is the correct identification for the MITRE ATT&CK pattern technique related to the Command-Line Interface in the Enterprise platform. Option B refers to Deobfuscate/Decode Files or Information, which is not relevant to this scenario. Option C and D are also unrelated techniques.
Which MITRE ATT&CK technique involves an adversary using a device’s location data to track an individual's movements without their knowledge or consent?	T1412 - Modify Authentication Process	T1434 - Access Token Manipulation	T1433 - Location Tracking	T1437 - System Services	T1433 - Location Tracking	The correct answer is T1433 - Location Tracking. This technique involves an adversary using a device’s location data to track an individual's movements without their knowledge or consent.
Which MITRE ATT&CK technique involves an attacker compromising an organization's software supply chain to deliver malicious updates?	T1195: Supply Chain Compromise	T1190: Exploit Public-Facing Application	T1078: Valid Accounts	T1059: Command-Line Interface	A	T1195: Supply Chain Compromise involves compromising the software supply chain to deliver malicious updates, posing a significant threat to organizations' security.
Which MITRE ATT&CK technique involves the adversary abusing Windows Management Instrumentation (WMI) to execute commands on a target system in the Enterprise platform?	T1047: Windows Management Instrumentation	T1059.003: Windows Management Instrumentation Event Subscription	T1218: Signed Binary Proxy Execution	T1028: Windows Remote Management (WinRM)	A	T1047: Windows Management Instrumentation is specifically associated with adversaries abusing WMI to execute commands on a target system in the Enterprise platform.
Which MITRE ATT&CK technique involves an adversary manipulating variables in an application to change the flow of execution and achieve their objectives?	Process Injection - Dynamic-link Library Injection	Exploitation for Client Execution	Scripting	Exploitation for Privilege Escalation	A	Process Injection - Dynamic-link Library Injection, also known as T1055, involves an adversary manipulating variables in an application to change the flow of execution. This technique is commonly used to achieve stealthy persistence on a compromised system.
Which MITRE ATT&CK technique involves an adversary collecting information about the target environment using methods like ActiveScout?	Discovery: ActiveScout	Discovery: External Remote Services	Discovery: Remote System Discovery	Discovery: Network Sniffing	C	Discovery: ActiveScout is a technique under the Discovery tactic where adversaries collect information about the target environment using methods like ActiveScout. The other options represent different methods of discovery but not specifically related to ActiveScout.
"In the context of MITRE ATT&CK for Enterprise, which technique is described as ""Using software, data, or commands to maintain access to systems across network sessions during which the adversary may use advanced techniques to maintain access to systems across network sessions""?"	A. Remote File Copy (T1105 - Remote File Copy)	B. Web Shells (T1505 - Server Software Component)	C. Native API (T1106 - Execution through API)	D. Remote Desktop Protocol (T1021 - Remote Services)	A	T1105 - Remote File Copy involves using software, data, or commands to maintain access to systems across network sessions, aligning
Which technique from the MITRE ATT&CK framework could be leveraged by threat actors to manipulate shared content on cloud storage services?	Lateral Movement: Pass the Ticket (T1097)	Fallback Channels (T1008)	Data from Local System (T1005)	Exfiltration Over Other Network Medium (T1011)	B	Data from Local System (T1005) can be used by threat actors to manipulate shared content on cloud storage services by accessing data stored on the local system and potentially modifying or exfiltrating it to the cloud.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary compromising a system with the intent to find and exfiltrate sensitive data?	Execution through API	Process Injection	Data Staging	Exfiltration (T1020 - Automated Exfiltration)	Exfiltration (T1020 - Automated Exfiltration)	The technique Exfiltration (T1020 - Automated Exfiltration) involves adversaries compromising a system to find and exfiltrate sensitive data. This emphasizes the importance of detecting and preventing unauthorized data exfiltration attempts.
Which MITRE ATT&CK technique involves an attacker compromising a legitimate website to host malicious content for watering hole attacks on the Enterprise platform?	Spearphishing Attachment (T1193)	Drive-by Compromise (T1189)	Exploit Public-Facing Application (T1190)	Supply Chain Compromise (T1195)	B	Drive-by Compromise (T1189) involves an attacker compromising a legitimate website to host malicious content for watering hole attacks on the Enterprise platform.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary sending emails with malicious attachments to targeted individuals to gain initial access to a network?	Execution: Phishing emails with malicious attachments (T1193)	Exfiltration: Transfer Data to Cloud Account (T1537.001)	Credential Access: Credential Dumping (T1003)	Discovery: Remote System Discovery (T1018)	A	Adversaries often use the technique of sending phishing emails with malicious attachments (T1193) as a means to gain initial access to a network, highlighting the importance of email security awareness and detection mechanisms.
Which MITRE ATT&CK technique is specifically designed to manipulate or disrupt industrial control systems (ICS) by targeting the physical process control?	Reactive Adversary	Access Token Manipulation	Process Injection	Physical Destruction	D	Physical Destruction (T0803) is the MITRE ATT&CK technique specifically tailored to manipulate or disrupt industrial control systems by targeting the physical process control, making it the correct answer in this scenario.
"Which MITRE ATT&CK technique is defined as ""Adversaries may attempt to manipulate a system’s implementation of permissions that are intended to ensure proper access control.""?"	Reconnaissance: Active Scanning (T1595)	Privilege Escalation: Exploitation for Privilege Escalation (T1068)	Credential Dumping: LSASS Memory (T1003.001)	Defense Evasion: Deobfuscate/Decode Files or Information (T1140)	Credential Dumping: LSASS Memory (T1003.001)	"Adversaries may use ""Credential Dumping: LSASS Memory"
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using obfuscated files or data to evade detection by security products?	Process Hollowing (T1055 - Process Injection)	Obfuscated Files or Information (T1027 - Obfuscated Files or Information)	Data Encoding (T1132 - Data Encoding)	Exploitation for Defense Evasion (T1211 - Exploitation for Defense Evasion)	B	T1027 - Obfuscated Files or Information (Obfuscating files or data is a common tactic used by adversaries to hide their malicious payloads from detection mechanisms, making it challenging for security products to identify
Which MITRE ATT&CK technique involves an adversary using a technique that relies on compromising accounts to move laterally in an organization's network?	Account Manipulation - T1078	Valid Accounts - T1078.002	Remote Services - T1021	Network Sniffing - T1040	B	Account Manipulation - T1078 involves an adversary using a technique that relies on compromising accounts to move laterally in an organization's network. Valid Accounts - T1078.002 specifically focuses on using legitimate credentials to perform lateral movement.
Which MITRE ATT&CK technique involves an adversary compromising a device through the execution of malicious software without user interaction?	Exploit Public-Facing Application (T1190)	Rogue Domain Controller (T1093)	Drive-by Compromise (T1189)	User Execution (T1204)	C	Drive-by Compromise (T1189) corresponds to adversaries compromising a device through the execution of malicious software without user interaction.
Which MITRE ATT&CK technique involves an adversary using a software tool or a set of tools to escalate privileges on a compromised system in the Enterprise platform?	Lateral Movement - T1070	Defense Evasion - T1218	Credential Dumping - T1003	Execution - T1059	C	Credential Dumping (T1003) involves an adversary stealing account credentials to escalate privileges on a compromised system in the Enterprise platform.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary manipulating a device's location data to masquerade as a legitimate user or bypass location-based access controls?	Obfuscated Files or Information (T1027)	Location Spoofing (T1130)	Valid Accounts (T1078)	Application Layer Protocol (T1071)	B	Location Spoofing (T1130) refers to an adversary manipulating a device's location data to appear as a legitimate user or to bypass location-based access controls, which can be crucial in evasion and defense evasion tactics within the MITRE ATT&CK framework.
Which MITRE ATT&CK technique involves an attacker exploiting trust in a specific service or resource authorized to a user?	Valid Accounts	Account Manipulation	Trusted Relationship	Exploitation for Credential Access	C	Exploitation for Credential Access (T1078) involves an attacker exploiting trust in a specific service or resource authorized to a user, usually to gain access to resources that are not otherwise accessible.
"Which MITRE ATT&CK technique ID corresponds to the pattern technique named ""Scheduled Task/Job"" in the Enterprise platform?"	A. T1053.005 - Scheduled Task/Job	B. T1053.001 - Scheduled Task/Job	C. T1053.003 - Scheduled Task/Job	D. T1053.002 - Scheduled Task/Job	A	"T1053.005 - Scheduled Task/Job corresponds to the pattern technique named ""Scheduled Task/Job"" in the Enterprise platform according to the MITRE ATT&CK framework."
Which MITRE ATT&CK technique involves an adversary using digital certificates to sign malicious payloads for code execution?	Domain Fronting (T1101 - Web Service)	Signed Binary Proxy Execution (T1218 - Signed Binary Proxy Execution)	Signed Script Proxy Execution (T1216 - Signed Script Proxy Execution)	Code Signing (T1116 - Code Signing)	D	Code Signing (T1116 - Code Signing)
Which MITRE ATT&CK technique involves an attacker gaining access to an organization's network through a trusted third-party software supply chain relationship?	Software Packing (T1027)	Valid Accounts (T1078)	Valid Accounts (Enterprise) (T1078.001)	Supply Chain Compromise (T1195)	Supply Chain Compromise (T1195)	The technique described involves a malicious actor exploiting the trust relationship between an organization and a third-party software vendor to introduce malware into the target environment. This is commonly known as a supply chain compromise, aligning with MITRE ATT&CK technique T1195.
Which MITRE ATT&CK technique involves an adversary executing malicious code on a victim machine remotely and without prior access?	Process Injection (T1055)	Spearphishing Attachment (T1193)	Exploit Public-Facing Application (T1190)	Remote File Copy (T1105)	A	Process Injection (T1055) involves injecting malicious code into another process to evade defenses and maintain persistence, allowing remote execution without prior access.
Which MITRE ATT&CK technique involves an attacker leveraging a software vulnerability to gain unauthorized access to a system or information?	Spearphishing Attachment (T1193)	Exploit Public-Facing Application (T1190)	Use of Known Vulnerability (T1068)	Exploitation for Credential Access (T1212)	C	Use of Known Vulnerability (T1068)
Which MITRE ATT&CK technique involves an adversary using existing functionality to execute malicious actions on a target system without the need to drop malicious binaries?	Process Injection	Execution through API	Scripting	Trusted Relationship	Trusted Relationship	Technique ID: T1199 - Trusted Relationship
Which MITRE ATT&CK technique involves an attacker leveraging a compromised cloud account to move laterally within the network?	Brute Force (T1110)	Steal Application Access Token (T1528)	Exploit Public-Facing Application (T1190)	Impersonation of User (T1078)	B	Stealing application access tokens (T1528) allows threat actors to move laterally within a network using compromised cloud accounts, highlighting the importance of securing access tokens to prevent such attacks.
Which MITRE ATT&CK technique involves an adversary gaining access to the victim’s machine by utilizing password guessing techniques such as brute force?	Account Manipulation (T1098)	External Remote Services (T1133)	Credential Dumping (T1003)	Valid Accounts (T1078)	Credential Dumping (T1003)	The technique described involves the unauthorized extraction of account login information, aligning with the Credential Dumping technique (T1003) in the MITRE ATT&CK framework.
Which MITRE ATT&CK technique involves an adversary sending a large number of connection requests to a target to consume its resources and make it unavailable to users?	Reconnaissance: Active Scanning (T1595.002)	Service Stop (T1489)	Resource Hijacking (T1496)	Network Denial of Service (T1498)	C	Network Denial of Service (T1498)
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary sending crafted network packets to a target to disrupt the normal functionality of a service?	Sniffing and Spoofing (T1040)	Data Obfuscation (T1001)	Network Denial of Service (T1498)	Exploitation of Remote Services (T1210)	C	Network Denial of Service (T1498) is the technique that involves sending crafted network packets to disrupt service functionality, causing denial of service. This technique can be used by threat actors to impact the availability of services within an enterprise environment.
Which MITRE ATT&CK technique involves an adversary sending emails with malicious attachments to targets without prior interaction, aiming to exploit vulnerabilities in email clients?	ATO:001 Phishing for Information	EXFIL:001 Transfer Data to Cloud Account	EXEC:001 PowerShell	EXEC:002 PowerShell Profile (T1504.001)	ATO:001 Phishing for Information	This question tests the understanding of the ATO:001 Phishing for Information technique, which involves sending malicious emails to exploit email client vulnerabilities without prior interaction. The other options are not related to this specific tactic.
Which MITRE ATT&CK technique involves an adversary gaining access to an account and password hashes from the local system using techniques like Credential Dumping and OS Credential Dumping?	T1003 - Credential Dumping	T1110 - Brute Force	T1081 - Credentials in Files	T1070.001 - Command-Line Interface	A	T1003 - Credential Dumping and T1003 provides an overview of techniques such as Credential Dumping and OS Credential Dumping, aligning with the scenario described in the question. T1110 (Brute Force) is more focused on attempting to gain access by guessing credentials. T1081 (Credentials in Files) involves
Which MITRE ATT&CK technique involves the use of malicious software, such as ransomware, to encrypt files on a victim's system, demanding payment for decryption keys?	Ransomware (T1486)	Exfiltration Over Alternative Protocol (T1048)	Valid Accounts (T1078)	Command-Line Interface (T1059)	A	Ransomware (T1486) is specifically designed to encrypt files and demand payment for decryption keys, making it a common tactic for extortion and financial gain.
Which MITRE ATT&CK technique involves an adversary sending unsolicited emails with malicious attachments to a target organization in an attempt to gain unauthorized access to their systems?	Spearphishing Attachment (T1193)	DLL Side-Loading (T1073)	Phishing for Information (T1598)	Remote Services (T1021)	A	Spearphishing Attachment (T1193) is the technique where adversaries send emails with malicious attachments to deceive victims into opening them, leading to potential unauthorized access.
Which MITRE ATT&CK technique involves an adversary abusing Windows Management Instrumentation (WMI) for execution and defense evasion?	T1059 - Command-Line Interface	T1047 - Windows Management Instrumentation	T1113 - Screen Capture	T1036 - Masquerading	B	T1047 - Windows Management Instrumentation is the correct technique that involves an adversary abusing WMI for execution and defense evasion, making it a crucial technique to monitor and defend against in cyber threat intelligence.
Which MITRE ATT&CK technique involves an adversary sending a large number of connection requests to a target in order to exhaust resources and deny service to legitimate users?	SYN Flood (T1070.004)	DNS Tunneling (T1071.004)	Remote File Copy (T1105)	Spearphishing Attachment (T1193)	A	SYN Flood (T1070.004) is a type of denial of service technique where the attacker floods a target with SYN packets to overwhelm its resources and prevent legitimate users from connecting.
Which MITRE ATT&CK technique describes the process of obtaining passwords from the operating system's credential store using a malicious application?	Reconnaissance	Steal Web Session Cookie	Access Token Manipulation	Legitimate Credentials	Access Token Manipulation	"This question tests the candidate's knowledge of specific techniques within the MITRE ATT&CK framework, focusing on credential access. ""Access Token Manipulation"" (T1134) involves manipulating access tokens to maintain privileged access. The other options are not directly related to obtaining passwords from the credential store."
In the context of MITRE ATT&CK Enterprise, which technique involves an attacker using a legitimate access token to move laterally within a network?	Process Injection (T1055)	Valid Accounts (T1078)	Internal Spearphishing (T1534)	Valid Accounts (T1078)	B	Valid Accounts (T1078) is the correct answer as it pertains to the technique where an attacker uses a legitimate access token to move laterally within a network, aligning with the concept of leveraging existing permissions for unauthorized activities.
Which MITRE ATT&CK technique is associated with the behavior described in the text?	Execution through API	Account Manipulation	Process Injection	Software Packing	C	Process Injection is a technique that involves executing arbitrary code in the address space of another process to evade detection and access the process's memory space. It is commonly used by threat actors to hide malicious activities within legitimate processes.
Which MITRE ATT&CK technique involves a threat actor gaining access to a target network through a compromised third-party service provider?	Account Access Removal	Service Provider Compromise	Third-Party Software Compromise	Valid Accounts	Option B	Service Provider Compromise is the technique where threat actors access a target network by compromising a third-party service provider, allowing them to bypass traditional security controls.
Which MITRE ATT&CK technique involves an adversary manipulating data objects to contain malicious content that can be used to exploit a system?	Process Injection - Dynamic-link Library Injection	Exploitation for Client Execution - Regsvr32	Exploitation for Client Execution - Compiled HTML File	Scripting - PowerShell	B	Exploitation for Client Execution - Compiled HTML File (T1203) involves adversaries using maliciously crafted HTML files to exploit vulnerabilities in client applications. This technique showcases the manipulation of data objects to contain malicious content for exploitation purposes.
Which MITRE ATT&CK technique involves an adversary using a third-party application to gain access to sensitive information on the Enterprise platform?	Process Injection - Dynamic-Link Library Injection (T1055.002)	Exploit Public-Facing Application (T1190)	Credential Dumping - LSASS Memory (T1003.001)	Trusted Relationship (T1199)	A	Process Injection - Dynamic-Link Library Injection (T1055.002)
Which MITRE ATT&CK technique involves an adversary persuading a user to provide their credentials in a deceptive manner?	(A) Credential Dumping	(B) Spearphishing Link	(C) Valid Accounts	(D) Data from Information Repositories	B	Spearphishing Link (T1566.001 - Phishing: Spearphishing Link) is a technique where an adversary sends a link to a website or attachment via email, social media, etc., to obtain a user's credentials through deception. This technique relies on tricking the user into providing sensitive information.
Which MITRE ATT&CK technique involves an adversary manipulating network protocols to avoid detection by security tools?	Spoofing Web Traffic (T1020)	Sniffing Network Traffic (T1040)	Impersonation of Client Server Protocol (T1098)	Traffic Signaling (T1046)	C	Traffic Signaling (T1046) is the correct answer as it specifically refers to an adversary manipulating network protocols to avoid detection by security tools, aligning with the scenario provided in the question.
Which MITRE ATT&CK technique involves an adversary sending an email to a target with a malicious attachment containing a payload to execute?	Exploit Public-Facing Application (T1190)	Data from Local System (T1005)	Spearphishing Attachment (T1193)	Scripting (T1064)	C	Spearphishing Attachment (T1193) is a technique where an adversary sends a specially crafted email with a malicious attachment to trick the target into opening it, leading to the execution of a payload.
Which MITRE ATT&CK technique involves an attacker sending malicious emails to trick victims into revealing sensitive information?	Phishing (T1566.001)	Exploit Public-Facing Application (T1190)	Exfiltration Over Alternative Protocol (T1048)	Remote Access Software (T1219)	A	Phishing (T1566.001) is a social engineering technique where attackers send deceptive emails to manipulate individuals into divulging confidential information. It aims to trick victims into providing sensitive data such as login credentials or financial information.
Which MITRE ATT&CK technique involves an adversary collecting information about a target organization's employees and using it to craft convincing spear-phishing emails?	Exfiltration Over Web Service	Remote System Discovery	Spearphishing Attachment	Remote File Copy	C	Spearphishing Attachment (T1566.001) is the technique where adversaries send specially crafted emails with malicious attachments to trick targets into executing them, enabling the adversary to gain initial access.
Which MITRE ATT&CK technique is commonly associated with threat actors attempting to maintain persistence on a victim's system in the Enterprise platform?	Process Injection (T1055) - Process Injection	Rogue Domain Controller (T1207) - Rogue Domain Controller	Valid Accounts (T1078) - Valid Accounts	Rootkit (T1014) - Rootkit	C	Threat actors often abuse valid accounts to maintain persistence within a target network, making it a common technique associated with gaining and maintaining access in the MITRE ATT&CK framework for the Enterprise platform.
In the context of MITRE ATT&CK for Enterprise, which technique involves the use of valid accounts to gain initial access?	Exploit Public-Facing Application (T1190 - Exploit Public-Facing Application)	Spearphishing Attachment (T1566.001 - Spearphishing Attachment)	Valid Accounts (T1078 - Valid Accounts)	Phishing (T1566 - Phishing)	C	Valid Accounts (T1078 - Valid Accounts) is the technique that involves the use of legitimate credentials to gain unauthorized access to systems or resources.
Which MITRE ATT&CK technique involves an adversary persuading a victim to install a seemingly benign application that contains malicious code to establish access to the victim's device?	Execution through API	Trusted Relationship	Spearphishing Attachment	Trusted Developer	B	Spearphishing Attachment
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using a malicious Excel document with a crafted Visual Basic for Applications (VBA) macro to execute code on a victim's machine?	Execution through Module Load	Exploitation for Client Execution	Spearphishing Attachment	Security Software Discovery	C	Spearphishing Attachment is the technique where an adversary uses a malicious attachment, such as an Excel document with a VBA macro, to initiate an attack and execute code on a victim's machine. This technique is commonly used in initial access phases and requires users to interact with the malicious attachment to trigger the payload.
Which MITRE ATT&CK technique involves an adversary performing actions that allow them to gather information about the victim's network, such as the ARP cache and routing table?	Discovery: Network Service Scanning	Discovery: Active Scanning	Discovery: Remote System Discovery	Collection: Network Sniffing	Discovery: Remote System Discovery	"The MITRE ATT&CK technique ""Discovery: Remote System Discovery"" involves an adversary performing actions to gather information about the victim's network, such as the ARP cache and routing table."
Which MITRE ATT&CK technique involves an adversary sending emails with malicious attachments to users within the target organization, aiming to compromise their systems?	Phishing (T1566.001: Spearphishing Attachment)	Data Transfer Size Limits (T1020)	Remote File Copy (T1105)	Exploit Public-Facing Application (T1190)	A	T1566.001: Spearphishing Attachment involves sending emails with malicious attachments to target individuals within an organization to gain initial access. This technique is commonly used by adversaries for social engineering attacks.
Which MITRE ATT&CK technique involves an adversary using a command-line interface to interact with a compromised system?	Process Injection (T1055)	Create Account (T1136)	Command-Line Interface (T1059)	Exploitation for Client Execution (T1203)	C	Command-Line Interface (T1059)
Which MITRE ATT&CK technique involves an adversary attempting to prevent detection of their tools and activities through various means?	Lateral Tool Transfer (T1570 - Lateral Tool Transfer)	Install Root Certificate (T1130 - Install Root Certificate)	Obfuscated Files or Information (T1027 - Obfuscated Files or Information)	Valid Accounts (T1078 - Valid Accounts)	C	Obfuscated Files or Information (T1027 - Obfuscated Files or Information) is the MITRE ATT&CK technique that involves an adversary attempting to prevent detection of their tools and activities through various means. This technique can be used to evade detection by obsc
Based on the MITRE ATT&CK document, which technique involves the adversary observing an individual or group to gather information, such as daily routines, contacts, and locations?	Tailing (T1197)	Video Capture (T1125)	Spearphishing Attachment (T1193)	Social Engineering (T1140)	A	Tailing (T1197) involves the adversary observing an individual or group to gather information, such as daily routines, contacts, and locations.
Which MITRE ATT&CK technique involves an adversary using malicious code to compromise a mobile device's operating system?	Process Injection (T1055)	Mobile Device Management Profile (T1572)	Exploit Public-Facing Application (T1190)	Credential Dumping (T1003)	B	Mobile Device Management Profile (T1572)
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using a compromised account to log into a system and perform reconnaissance activities?	Account Discovery	Valid Accounts	Valid Accounts: Domain Accounts	Account Discovery: Domain Account	A	Adversaries may leverage compromised accounts to gather information about the target environment, a tactic known as Account Discovery in MITRE ATT&CK. The distinction between local and domain accounts is crucial in understanding the scope of the compromise and the potential impact.
"In the MITRE ATT&CK framework for Enterprise environments, which technique is associated with the ID T1204.002 and is named ""User Execution""?"	T1204.002 - User Execution	T1078.001 - Valid Accounts	T1021.001 - Remote Services	T1083 - File and Directory Discovery	A	"T1204.002, also known as ""User Execution,"" involves tricking a user into running malicious code, allowing an adversary to gain initial access. The other options do not directly correspond to this technique."
Which MITRE ATT&CK technique involves an adversary sending an email with a malicious attachment to the target to exploit a vulnerability in the email client?	T1566.001 - Spearphishing Attachment	T1566.002 - Spearphishing Link	T1193 - Spearphishing via Service	T1566 - Phishing	B	T1566.001 - Spearphishing Attachment is a specific technique where adversaries send spearphishing emails with malicious attachments to exploit vulnerabilities in email clients. This requires understanding the difference between spearphishing attachment and other phishing techniques.
Which MITRE ATT&CK technique involves an adversary sending emails with malicious attachments to trigger a payload, aiming to exploit the victim's system?	Execution via API	Phishing	Scripting	Remote System Discovery	B	Phishing is the technique utilized by adversaries to send malicious emails to victims, enticing them to open attachments or click on links that trigger a payload, leading to exploitation.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using DNS tunneling to communicate covertly with a C2 server?	A. Exfiltration Over Alternative Protocol	B. Data Obfuscation	C. Data from Cloud Storage Object	D. Domain Fronting	A	Domain Fronting technique (T1102.001) within the Exfiltration Over Alternative Protocol category specifically involves using DNS tunneling to hide command and control (C2) traffic.
Which MITRE ATT&CK technique involves an adversary manipulating internal data flow within a computer network to achieve their objectives?	Exfiltration Over C2 Channel (T1041 - Exfiltration Over Command and Control Channel)	Exploitation for Client Execution (T1203 - Exploitation for Client Execution)	Transmitted Data Manipulation (T1492 - Transmitted Data Manipulation)	Network Sniffing (T1040 - Network Sniffing)	C	Transmitted Data Manipulation (T1492 - Transmitted Data Manipulation) involves an adversary manipulating internal data flow within a computer network to achieve their objectives.
Which MITRE ATT&CK technique involves an adversary creating, deleting, or modifying system files to achieve persistence?	Process Injection (T1055)	Valid Accounts (T1078)	Modify Registry (T1112)	File Deletion (T1107)	C	Adversaries may use the Modify Registry technique (T1112) to create, delete, or modify system files for persistence on the system.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary compromising the integrity of data by causing a modification that benefits the adversary's goals without detection?	Process Injection (T1055) - Process Injection	Exfiltration Over Alternative Protocol (T1048) - Exfiltration Over Alternative Protocol	Data Obfuscation (T1001) - Data Obfuscation	Data Manipulation (T1565) - Data Manipulation	D	Data Manipulation (T1565) - Data Manipulation involves an adversary altering data to benefit their goals without being detected, impacting the integrity of the information.
Which technique from the MITRE ATT&CK framework (Enterprise) involves an adversary using fake login pages to steal user credentials?	Spearphishing Attachment	Web Service	Web Shell	Phishing	C	Adversaries may use phishing techniques, including creating fake login pages, to trick users into providing their credentials. Phishing is the correct option in this context.
Which MITRE ATT&CK technique is commonly associated with adversaries using valid accounts to log into a system?						
Credential Dumping (T1003)	Valid Accounts (T1078)	Account Manipulation (T1098)	Access Token Manipulation (T1134)	B	Valid Accounts (T1078) is the MITRE ATT&CK technique associated with adversaries using legitimate credentials to gain unauthorized access to systems, emphasizing the importance of monitoring and securing user accounts.	
Which MITRE ATT&CK technique involves an adversary using a legitimate process to hide the execution of malicious code?	Process Hollowing	Process Injection	Process Doppelgänging	Process Migration	C	Process Doppelgänging (T1055) is a technique where an adversary uses a legitimate process to create a copy of the original process but alters its memory space to execute malicious code. This technique aims to evade detection by security tools.
Which MITRE ATT&CK technique involves an adversary compromising data integrity by making unauthorized modifications to data in transit between two parties?	Domain Fronting (T1090)	Man-in-the-Middle (T1557)	Data Obfuscation (T1001)	Data Manipulation (T1565)	B	Man-in-the-Middle (T1557) is the MITRE ATT&CK technique involving an adversary intercepting communication between two parties, enabling them to compromise data integrity by making unauthorized modifications to data in transit.
Which MITRE ATT&CK technique involves an adversary performing actions that are designed to make an incident response more difficult by impeding the discovery and remediation of threats?	Process Injection (T1055)	Obfuscated Files or Information (T1027)	Indicator Removal on Host (T1070)	Data Encrypted for Impact (T1486)	C	Indicator Removal on Host (T1070) is the MITRE ATT&CK technique that involves an adversary performing actions to impede the discovery and remediation of threats, making incident response more difficult.
Which MITRE ATT&CK technique involves an adversary creating or changing a file to trigger an unintended behavior in the target system?	Process Injection (T1055)	Masquerading (T1036)	Exploitation for Client Execution (T1203)	Trusted Relationship (T1199)	A	Masquerading (T1036) involves an adversary modifying a file to appear legitimate, often triggering unintended actions in the system. Process Injection (T1055) involves injecting code into a different process to evade defenses. Exploitation for Client Execution (T1203) focuses on exploiting client applications to execute malicious code. Trusted
Which MITRE ATT&CK technique is commonly associated with the use of malicious scripts to execute commands on a remote system in the Enterprise platform?	Process Injection - Dynamic-link Library Injection (T1055.002)	Scripting (T1064)	Remote Access Tools (T1219)	Command-Line Interface (T1059)	B	Scripting (T1064) is commonly used to execute commands on remote systems, making it a prevalent technique in cyber threat intelligence for the Enterprise platform.
Which MITRE ATT&CK technique involves the use of a scheduled task to execute malicious code on a Windows system?	Scheduled Task (T1053) - Scheduled Task	Obfuscated Files or Information (T1027) - Data Encrypted	Remote Access Tools (T1219) - Remote Access Tools	Phishing (T1566) - Phishing	Scheduled Task (T1053) - Scheduled Task	The technique described involves leveraging a scheduled task to execute malicious code on a Windows system, aligning with the MITRE ATT&CK technique ID T1053 - Scheduled Task.
Based on the MITRE ATT&CK framework for Enterprise, which technique involves a threat actor sending a specially crafted email to an organization containing malicious attachments to gain initial access?	Spearphishing Attachment	Spearphishing Link	Remote File Copy	Exploit Public-Facing Application	A	Spearphishing Attachment involves sending emails with malicious attachments to entice victims into executing the attachment, leading to initial access.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using stolen credentials to access a victim's account without the need to steal the victim's actual credentials?	Over-pass the Hash (T1550.2)	Steal Web Session Cookie (T1539)	Valid Accounts (T1078)	Credential Dumping (T1003)	B	Adversaries can utilize the stolen credentials to access accounts without the need to expose the victim's actual credentials, as seen in the Valid Accounts technique (T1078).
Based on the MITRE ATT&CK document provided, which technique involves an adversary executing their own malicious payloads on a victim's machine?	Spearphishing Attachment (T1193)	Exploitation for Client Execution (T1203)	Scripting (T1064)	Command and Scripting Interpreter (T1059)	B	Exploitation for Client Execution (T1203) involves an adversary executing their own malicious payloads on a victim's machine, making it a key technique to detect and mitigate in cyber threat intelligence.
Which MITRE ATT&CK technique involves an adversary using a malicious application to capture keystrokes on a compromised system in the Enterprise environment?	Keylogging (T1056)	Audio Capture (T1123)	Data from Information Repositories (T1213)	Audio Capture (T1123)	A	Keylogging (T1056) is the correct technique that involves capturing keystrokes on a compromised system, a common tactic used by adversaries to gather sensitive information. Audio Capture (T1123) is not specifically related to capturing keystrokes but rather focuses on recording audio content. Data from Information Repositories (T1213) involves adversaries searching for sensitive
Which MITRE ATT&CK technique involves an adversary using system tools to discover the victim's system and network configurations?	Process Discovery	Software Discovery	Account Discovery	System Network Configuration Discovery	D	System Network Configuration Discovery (T1016 - System Network Configuration Discovery) involves an adversary using system tools to discover the victim's system and network configurations.
Which MITRE ATT&CK technique involves an adversary executing malicious software on a victim's machine without the need for user interaction?	Process Injection (T1055)	Scripting (T1064)	Spearphishing Attachment (T1193)	Remote Access Tools (T1219)	A	Process Injection (T1055) entails injecting or running code in the address space of separate processes, allowing an adversary to execute malicious software without user interaction.
